inter_id,user_id,book_id,borrow_time,return_time,renew_time,renew_cnt,borrow_year,borrow_month,borrow_dow,borrow_hour,borrow_duration_days,renew_gap_days
89155,119,50113,2020-08-25 15:04:25,2020-10-13 18:23:00,2020-09-20 23:25:49,1,2020,8,1,15,49.13790509259259,26.348194444444445
68320,1044,38715,2022-11-07 18:34:41,2023-02-15 09:29:07,2022-12-01 21:07:35,1,2022,11,0,18,99.62113425925926,24.10618055555556
97,762,19,2020-12-16 19:56:32,2021-04-24 18:24:56,2021-01-05 16:43:53,1,2020,12,2,19,128.9363888888889,19.866215277777776
37070,365,23298,2024-05-25 16:12:36,2024-05-25 16:15:23,,0,2024,5,5,16,0.0019328703703703,
85057,440,47686,2022-08-11 12:18:00,2022-10-24 16:50:54,2022-10-05 20:01:32,2,2022,8,3,12,74.18951388888888,55.32189814814815
24622,58,14595,2021-02-28 17:41:15,2021-03-10 08:35:23,,0,2021,2,6,17,9.620925925925926,
48102,343,28972,2023-11-27 17:32:02,2024-01-07 17:58:49,2023-12-17 21:26:24,1,2023,11,0,17,41.01859953703703,20.162754629629628
66459,677,37533,2023-11-24 21:37:26,2024-01-17 16:41:12,,0,2023,11,4,21,53.79428240740741,
737,658,399,2024-06-14 14:17:19,2024-09-26 08:52:46,2024-08-24 11:42:21,1,2024,6,4,14,103.77461805555556,70.89238425925926
69947,1182,39841,2023-11-06 19:20:00,2023-11-21 16:19:40,,0,2023,11,0,19,14.874768518518518,
73651,472,41891,2024-03-24 18:03:14,2024-03-28 17:22:40,,0,2024,3,6,18,3.971828703703704,
17543,785,10225,2021-03-19 13:33:07,2021-04-15 21:49:53,,0,2021,3,4,13,27.34497685185185,
61626,886,34228,2020-09-18 10:15:23,2020-09-20 08:15:48,,0,2020,9,4,10,1.9169560185185184,
23042,916,13652,2021-01-05 18:21:17,2021-01-12 11:33:58,,0,2021,1,1,18,6.717141203703704,
55169,1385,30725,2023-06-30 11:02:32,2023-08-31 14:29:07,2023-08-24 18:54:31,1,2023,6,4,11,62.14346064814815,55.3277662037037
35695,311,22519,2022-06-15 21:23:44,2022-06-26 09:32:10,,0,2022,6,2,21,10.505856481481482,
47575,75,28564,2020-10-13 13:26:50,2021-01-08 13:42:01,2020-12-12 19:04:04,2,2020,10,1,13,87.01054398148148,60.23418981481481
12487,1081,7023,2024-02-26 14:36:28,2024-03-01 19:13:53,,0,2024,2,0,14,4.192650462962963,
20520,1300,12081,2020-05-09 10:19:15,2020-06-03 08:02:57,,0,2020,5,5,10,24.905347222222225,
14166,482,8104,2024-07-02 11:25:15,2024-07-13 09:06:17,,0,2024,7,1,11,10.90349537037037,
13441,1331,7639,2022-11-18 13:18:47,2022-11-21 21:44:40,,0,2022,11,4,13,3.3513078703703703,
19684,1299,11536,2020-05-29 11:29:14,2020-07-08 15:12:40,,0,2020,5,4,11,40.15516203703704,
78766,1191,44087,2024-12-11 19:04:07,,,0,2024,12,2,19,,
89523,912,50293,2021-07-18 17:00:34,2021-10-21 21:34:55,,0,2021,7,6,17,95.19052083333334,
42448,661,24369,2022-12-02 08:20:23,2022-12-11 11:26:40,,0,2022,12,4,8,9.129363425925924,
33750,958,21182,2021-01-18 17:03:33,2021-05-17 19:28:05,2021-04-12 22:35:48,2,2021,1,0,17,119.10037037037036,84.23072916666666
4902,1331,2346,2021-04-25 10:00:13,2021-04-26 20:15:43,,0,2021,4,6,10,1.4274305555555555,
95759,353,53779,2021-07-06 21:58:05,2021-08-03 15:06:20,,0,2021,7,1,21,27.7140625,
11770,83,6610,2020-08-29 11:25:02,2020-09-21 12:22:03,,0,2020,8,5,11,23.03959490740741,
2026,536,1195,2024-03-24 09:20:03,2024-03-24 17:27:22,,0,2024,3,6,9,0.3384143518518518,
19986,1332,11673,2021-01-23 20:37:39,2021-03-03 11:37:23,,0,2021,1,5,20,38.62481481481481,
18866,1299,10971,2021-02-01 20:57:15,2021-03-20 17:18:31,,0,2021,2,0,20,46.84810185185185,
17791,1331,10368,2020-12-26 11:34:57,2021-01-12 18:37:04,,0,2020,12,5,11,17.293136574074072,
48050,318,28815,2024-05-27 16:22:01,2024-06-18 09:25:45,,0,2024,5,0,16,21.710925925925928,
80025,896,44670,2020-11-24 17:37:19,2021-01-20 08:24:07,2021-01-19 15:45:51,2,2020,11,1,17,56.615833333333335,55.92259259259259
