book_id,item_interactions,item_unique_users
1,1,1
4,2,2
5,1,1
7,1,1
8,3,3
9,7,7
10,1,1
13,14,13
14,2,2
15,1,1
16,4,4
17,3,3
18,2,2
19,1,1
22,2,1
24,1,1
25,2,2
26,1,1
29,1,1
30,1,1
31,1,1
36,2,2
37,1,1
38,2,1
39,1,1
41,3,3
42,2,2
45,3,3
49,1,1
52,1,1
53,1,1
55,1,1
57,1,1
58,1,1
60,1,1
61,1,1
64,1,1
65,1,1
69,1,1
71,1,1
74,1,1
77,2,2
84,1,1
88,1,1
94,1,1
97,1,1
98,1,1
99,3,1
106,1,1
107,1,1
109,2,2
110,1,1
111,1,1
113,1,1
115,1,1
117,1,1
118,1,1
119,1,1
120,1,1
121,1,1
122,1,1
123,1,1
124,1,1
125,1,1
127,1,1
129,1,1
132,1,1
135,2,2
138,1,1
143,1,1
148,3,2
149,1,1
150,1,1
151,1,1
153,1,1
155,4,4
156,1,1
157,1,1
163,1,1
166,1,1
169,1,1
170,1,1
176,2,1
178,1,1
179,1,1
180,1,1
185,1,1
191,1,1
192,1,1
193,1,1
194,4,2
195,1,1
196,2,1
197,2,1
198,1,1
199,2,1
200,1,1
202,1,1
203,1,1
204,1,1
205,1,1
210,1,1
211,1,1
212,1,1
213,1,1
214,3,3
215,1,1
216,2,2
218,1,1
220,1,1
223,1,1
224,3,3
226,1,1
232,1,1
233,2,2
234,1,1
235,1,1
241,1,1
274,1,1
275,2,1
283,1,1
286,1,1
287,1,1
289,1,1
295,1,1
299,1,1
301,1,1
304,1,1
308,1,1
309,1,1
311,1,1
312,1,1
315,1,1
316,2,1
324,1,1
325,1,1
327,1,1
329,2,2
330,1,1
332,1,1
335,1,1
344,1,1
345,1,1
354,1,1
355,1,1
357,1,1
358,1,1
363,1,1
364,1,1
382,1,1
389,1,1
390,1,1
391,2,2
393,3,1
394,1,1
396,1,1
399,3,3
402,1,1
404,1,1
406,1,1
407,1,1
408,1,1
409,1,1
411,1,1
412,1,1
413,1,1
414,1,1
415,1,1
416,1,1
423,2,1
424,1,1
425,2,1
426,1,1
427,1,1
429,1,1
430,1,1
441,1,1
445,1,1
446,1,1
449,1,1
450,1,1
453,1,1
455,1,1
456,1,1
457,4,2
458,1,1
461,3,2
466,1,1
468,1,1
471,1,1
476,1,1
477,2,2
478,1,1
479,1,1
481,1,1
